,pm25,pm10,o3,no2,so2,co,date
223,0.90625,0.3333333333333333,0.32653061224489793,0.28,0.2,0.2,2022-01-13
224,0.53125,0.2916666666666667,0.4489795918367347,0.4,0.2,0.2,2022-01-14
225,0.4895833333333333,0.7708333333333334,0.10204081632653061,0.76,0.2,0.6,2022-01-15
226,1.0729166666666667,0.2708333333333333,0.3877551020408163,0.24,0.2,0.2,2022-01-16
227,0.4375,0.22916666666666666,0.4489795918367347,0.36,0.2,0.3,2022-01-17
228,0.3645833333333333,0.625,0.14285714285714285,0.84,0.2,0.4,2022-01-18
229,0.7916666666666666,0.4166666666666667,0.40816326530612246,0.56,0.2,0.3,2022-01-19
230,0.5833333333333334,0.16666666666666666,0.46938775510204084,0.24,0.2,0.1,2022-01-20
231,0.23958333333333334,0.125,0.4897959183673469,0.16,0.2,0.2,2022-01-21
232,0.21875,0.20833333333333334,0.4489795918367347,0.32,0.2,0.2,2022-01-22
233,0.3854166666666667,0.4791666666666667,0.30612244897959184,0.6,0.4,0.4,2022-01-23
234,0.6875,0.8333333333333334,0.14285714285714285,0.88,0.4,0.5,2022-01-24
235,1.0208333333333333,0.5,0.04081632653061224,0.44,0.4,0.3,2022-01-25
236,0.7708333333333334,0.4791666666666667,0.18367346938775508,0.44,0.35000000000000003,0.1,2022-01-26
237,0.71875,0.22916666666666666,0.32653061224489793,0.2,0.30000000000000004,0.1,2022-01-27
238,0.3020833333333333,0.16666666666666666,0.4693877551020408,0.24,0.25,0.1,2022-01-28
239,0.3229166666666667,0.16666666666666666,0.6122448979591837,0.2,0.2,0.1,2022-01-29
240,0.2604166666666667,0.2708333333333333,0.5918367346938775,0.32,0.2,0.1,2022-01-30
241,0.3958333333333333,0.2708333333333333,0.4489795918367347,0.36,0.2,0.1,2022-01-31
185,0.5,0.125,0.5306122448979592,0.32,0.2,0.1,2022-02-01
186,0.23958333333333334,0.2708333333333333,0.4897959183673469,0.48,0.2,0.2,2022-02-02
187,0.3125,0.625,0.32653061224489793,0.84,0.6,0.3,2022-02-03
188,0.7395833333333334,0.6666666666666666,0.02040816326530612,0.68,0.6,0.6,2022-02-04
189,0.8541666666666666,0.20833333333333334,0.42857142857142855,0.36,0.2,0.2,2022-02-05
190,0.3645833333333333,0.16666666666666666,0.5714285714285714,0.24,0.2,0.1,2022-02-06
191,0.3020833333333333,0.16666666666666666,0.5102040816326531,0.2,0.2,0.2,2022-02-07
192,0.2604166666666667,0.1875,0.4489795918367347,0.4,0.2,0.2,2022-02-08
193,0.25,0.6875,0.2857142857142857,0.92,0.4,0.6,2022-02-09
194,0.8333333333333334,0.625,0.42857142857142855,0.84,0.2,0.4,2022-02-10
195,0.7604166666666666,0.25,0.4126984126984127,0.4,0.22222222222222224,0.2,2022-02-11
196,0.3958333333333333,0.375,0.3968253968253968,0.6,0.24444444444444446,0.3,2022-02-12
197,0.59375,0.6458333333333334,0.38095238095238093,0.64,0.26666666666666666,0.4,2022-02-13
198,0.84375,0.625,0.36507936507936506,0.68,0.2888888888888889,0.4,2022-02-14
199,0.84375,0.7083333333333334,0.3492063492063492,0.52,0.3111111111111111,0.4,2022-02-15
200,1.0,0.16666666666666666,0.3333333333333333,0.28,0.33333333333333337,0.3,2022-02-16
201,0.23958333333333334,0.20833333333333334,0.31746031746031744,0.44,0.35555555555555557,0.3,2022-02-17
202,0.28125,0.16666666666666666,0.30158730158730157,0.24,0.37777777777777777,0.2,2022-02-18
