date,pm25,pm10,o3,no2,so2,co,pm25_predicted,pm10_predicted,o3_predicted,no2_predicted,so2_predicted,co_predicted
2022-03-03,90.0,40.0,25.0,10.0,2.0,4.0,,,,,,
2022-03-04,102.0,22.0,7.0,8.0,1.0,3.0,,,,,,
2022-03-05,67.0,14.0,0.9999999999999999,5.0,1.0,3.0,,,,,,
2022-03-06,52.0,32.0,25.0,8.0,2.0,4.0,,,,,,
2022-03-07,83.0,26.0,20.0,9.0,2.0,5.0,,,,,,
2022-03-08,68.0,29.0,23.0,9.0,2.0,5.0,,,,,,
2022-03-09,73.0,16.0,28.0,7.000000000000001,1.0,3.0,,,,,,
2022-03-10,44.0,13.0,28.0,6.0,1.0,3.0,,,,,,
2022-03-11,40.0,20.0,29.0,7.000000000000001,2.0,4.0,,,,,,
2022-03-12,53.0,35.0,31.0,8.0,2.0,6.0,,,,,,
2022-03-13,84.0,27.0,31.0,9.0,3.0,5.0,,,,,,
2022-03-14,70.0,30.0,31.0,8.0,5.0,5.0,,,,,,
2022-03-15,72.0,29.0,20.0,8.0,2.0,4.0,,,,,,
2022-03-16,70.0,36.0,26.0,10.0,1.0,6.0,,,,,,
2022-03-17,91.0,40.0,21.0,9.0,2.0,7.0,,,,,,
2022-03-18,97.0,32.0,31.0,9.0,1.0,5.0,,,,,,
2022-03-19,85.0,22.0,29.0,6.0,1.0,4.0,,,,,,
2022-03-20,62.0,33.0,31.999999999999996,9.0,2.0,5.0,,,,,,
2022-03-21,77.0,38.0,34.0,11.0,3.0,5.0,,,,,,
2022-03-22,81.0,34.0,33.0,11.0,2.0,5.0,,,,,,
2022-03-23,67.0,41.0,35.0,11.0,2.0,6.0,,,,,,
2022-03-24,77.0,38.0,31.0,9.0,2.0,5.0,,,,,,
2022-03-25,67.0,32.0,34.0,9.0,1.0,4.0,,,,,,
2022-03-26,63.0,26.0,26.999999999999996,7.000000000000001,1.0,4.0,,,,,,
2022-03-27,59.0,32.0,30.0,10.0,1.0,4.0,,,,,,
2022-03-28,56.0,42.0,33.0,12.0,1.0,5.0,,,,,,
2022-03-29,68.0,43.0,25.0,10.0,1.0,4.0,,,,,,
2022-03-30,74.0,25.0,17.0,7.000000000000001,1.0,3.0,,,,,,
