,pm25,pm10,o3,no2,so2,co,date
245,0.34375,0.4375,0.5714285714285714,0.36,0.2,0.5,2022-02-23
246,0.6145833333333334,0.22916666666666666,0.46938775510204084,0.24,0.2,0.3,2022-02-24
247,0.40625,0.20833333333333334,0.46938775510204084,0.24,0.4,0.3,2022-02-25
248,0.3541666666666667,0.2708333333333333,0.5102040816326531,0.2,0.2,0.3,2022-02-26
249,0.46875,0.25,0.3877551020408163,0.24,0.2,0.4,2022-02-27
250,0.4270833333333333,0.25,0.5102040816326531,0.24,0.2,0.4,2022-02-28
192,0.4479166666666667,0.4375,0.5102040816326531,0.28,0.2,0.4,2022-03-01
193,0.6145833333333334,0.8125,0.46938775510204084,0.36,0.4,0.5,2022-03-02
194,0.9375,0.8333333333333334,0.5102040816326531,0.4,0.4,0.4,2022-03-03
195,1.0625,0.4583333333333333,0.14285714285714285,0.32,0.2,0.3,2022-03-04
196,0.6979166666666666,0.2916666666666667,0.02040816326530612,0.2,0.2,0.3,2022-03-05
197,0.5416666666666666,0.6666666666666666,0.5102040816326531,0.32,0.4,0.4,2022-03-06
198,0.8645833333333334,0.5416666666666666,0.40816326530612246,0.36,0.4,0.5,2022-03-07
199,0.7083333333333334,0.6041666666666666,0.46938775510204084,0.36,0.4,0.5,2022-03-08
200,0.7604166666666666,0.3333333333333333,0.5714285714285714,0.28,0.2,0.3,2022-03-09
201,0.4583333333333333,0.2708333333333333,0.5714285714285714,0.24,0.2,0.3,2022-03-10
202,0.4166666666666667,0.4166666666666667,0.5918367346938775,0.28,0.4,0.4,2022-03-11
203,0.5520833333333334,0.7291666666666666,0.6326530612244898,0.32,0.4,0.6,2022-03-12
204,0.875,0.5625,0.6326530612244898,0.36,0.6,0.5,2022-03-13
205,0.7291666666666666,0.625,0.6326530612244898,0.32,1.0,0.5,2022-03-14
206,0.75,0.6041666666666666,0.40816326530612246,0.32,0.4,0.4,2022-03-15
207,0.7291666666666666,0.75,0.5306122448979592,0.4,0.2,0.6,2022-03-16
208,0.9479166666666666,0.8333333333333334,0.42857142857142855,0.36,0.4,0.7,2022-03-17
209,1.0104166666666667,0.6666666666666666,0.6326530612244898,0.36,0.2,0.5,2022-03-18
210,0.8854166666666666,0.4583333333333333,0.5918367346938775,0.24,0.2,0.4,2022-03-19
211,0.6458333333333334,0.6875,0.6530612244897959,0.36,0.4,0.5,2022-03-20
212,0.8020833333333334,0.7916666666666666,0.6938775510204082,0.44,0.6,0.5,2022-03-21
213,0.84375,0.7083333333333334,0.673469387755102,0.44,0.4,0.5,2022-03-22
214,0.6979166666666666,0.8541666666666666,0.7142857142857143,0.44,0.4,0.6,2022-03-23
215,0.8020833333333334,0.7916666666666666,0.6326530612244898,0.36,0.4,0.5,2022-03-24
216,0.6979166666666666,0.6666666666666666,0.6938775510204082,0.36,0.2,0.4,2022-03-25
217,0.65625,0.5416666666666666,0.5510204081632653,0.28,0.2,0.4,2022-03-26
218,0.6145833333333334,0.6666666666666666,0.6122448979591837,0.4,0.2,0.4,2022-03-27
219,0.5833333333333334,0.875,0.673469387755102,0.48,0.2,0.5,2022-03-28
220,0.7083333333333334,0.8958333333333334,0.5102040816326531,0.4,0.2,0.4,2022-03-29
221,0.7708333333333334,0.5208333333333334,0.3469387755102041,0.28,0.2,0.3,2022-03-30
222,0.6875,0.4166666666666667,0.20408163265306123,0.2,0.2,0.3,2022-03-31
162,0.7083333333333334,0.4166666666666667,0.2653061224489796,0.2,0.2,0.2,2022-04-01
163,0.7083333333333334,0.3333333333333333,0.5306122448979592,0.2,0.2,0.1,2022-04-02
164,0.5833333333333334,0.3333333333333333,0.5306122448979592,0.32,0.2,0.2,2022-04-03
165,0.5104166666666666,0.3125,0.46938775510204084,0.32,0.2,0.2,2022-04-04
166,0.4583333333333333,0.3541666666666667,0.6530612244897959,0.4,0.2,0.3,2022-04-05
167,0.4895833333333333,0.5,0.46938775510204084,0.36,0.2,0.2,2022-04-06
168,0.59375,0.2916666666666667,0.5306122448979592,0.28,0.2,0.2,2022-04-07
169,0.3645833333333333,0.10416666666666667,0.4489795918367347,0.2,0.2,0.2,2022-04-08
170,0.1875,0.125,0.5714285714285714,0.2,0.2,0.2,2022-04-09
171,0.22916666666666666,0.14583333333333334,0.5510204081632653,0.2,0.2,0.2,2022-04-10
172,0.25,0.375,0.6530612244897959,0.36,0.2,0.3,2022-04-11
173,0.5,0.4375,0.6938775510204082,0.36,0.2,0.3,2022-04-12
174,0.5625,0.5208333333333334,0.6938775510204082,0.4,0.2,0.4,2022-04-13
